1,Ajmer,13715,1,310,247,121
2,Alwar,8507,0,51,32,31
3,Banswara,2845,0,85,72,72
4,Baran,2105,3,8,4,3
5,Barmer,4763,1,92,6,6
6,Bharatpur,9656,10,153,123,117
7,Bhilwara,19632,7,134,73,56
8,Bikaner,8373,9,94,50,42
9,Bundi,1326,1,1,0,0
10,Chittorgarh,7411,1,175,146,102
11,Churu,6600,0,85,50,26
12,Dausa,5605,1,46,35,30
13,Dholpur,3120,2,45,26,24
14,Dungarpur,4855,1,332,9,8
15,Ganganagar,1620,3,5,0,0
16,Hanumangarh,3110,7,21,14,14
17,Jaipur,61713,42,1902,1377,1248
18,Jaisalmer,4897,0,68,44,44
19,Jalore,6050,0,154,20,20
20,Jhalawar,7372,64,135,48,48
21,Jhunjhunu,8336,6,102,57,47
22,Jodhpur,66830,33,1311,1022,1017
23,Karauli,1527,2,12,4,3
24,Kota,22256,18,414,313,200
25,Nagaur,13457,12,416,166,164
26,Pali,6570,21,381,97,97
27,Pratapgarh,1399,0,13,3,3
28,Rajsamand,2940,9,135,40,36
29,S. Madhopur,3943,0,19,13,13
30,Sikar,10135,13,164,49,49
31,Sirohi,5795,2,141,6,6
32,Tonk,7314,4,163,156,155
32,Udaipur,14779,6,523,155,6
,Other District/State Sample,2044,1,13,0,0
,Total,350600,280,7703,4457,3808
,,Evacuess,0,61,61,61
,,BSF,0,50,42,42
,,Grand Total,280,7816,4562,3913

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
http://www.rajswasthya.nic.in/
