District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,220,66,150,4,29610,220,29390,0
Chittoor,262,69,191,2,29080,262,28818,0,2085,2721,33,1032
East Godavari,224,169,53,2,44721,224,44497,0,2378,11701,743,4180
Guntur,496,98,390,8,30174,496,29678,0,3205,5599,8,4643
Kadapa,119,11,108,0,30669,119,30550,0,1335,3654,189,1126
Krishna,477,132,327,18,25639,477,25162,0,2047,3102,12,2008
Kurnool,724,134,565,25,27694,724,26970,0,1552,5579,220,3258
Prakasam,80,14,66,0,24525,80,24445,0,1500,8115,751,2212
Nellore,255,72,179,4,22704,255,22449,0,948,6888,154,2658
Srikakulam,23,14,9,0,41036,23,41013,0,1667,5663,403,1144
Visakhapatnam,105,34,70,1,30055,105,29950,0,2299,6152,0,3471
Vizianagaram,26,22,4,0,20526,26,20500,0,1285,4054,508,1044
West Godavari,107,50,57,0,26324,107,26217,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
