SR. No, District - Country,Total Sample Received,Todays Positive,Cumulative Positive,Recovered,Discharged
1,Ajmer,15647,7,349,292,147
2,Alwar,10104,6,59,52,52
3,Banswara,3167,0,85,83,81
4,Baran,2900,27,42,4,3
5,Barmer,6497,0,99,63,63
6,Bharatpur,10792,44,297,134,124
7,Bhilwara,21788,2,145,100,82
8,Bikaner,11748,0,106,60,56
9,Bundi,1692,0,2,0,0
10,Chittorgarh,8069,0,176,165,140
11,Churu,7670,7,113,60,60
12,Dausa,6293,2,52,41,41
13,Dholpur,5359,0,60,38,38
14,Dungarpur,8483,3,368,251,223
15,Ganganagar,2121,0,6,0,0
16,Hanumangarh,3939,0,30,14,14
17,Jaipur,69128,36,2027,1674,1468
18,Jaisalmer,5997,0,74,59,59
19,Jalore,11405,0,162,61,61
20,Jhalawar,10438,5,269,55,55
21,Jhunjhunu,9627,6,137,89,88
22,Jodhpur,78551,32,1562,1130,1125
23,Karauli,2270,0,17,8,8
24,Kota,26837,11,477,355,247
25,Nagaur,15069,0,456,261,261
26,Pali,10225,52,517,214,214
27,Pratapgarh,2259,0,14,11,11
28,Rajsamand,3592,1,142,88,88
29,S. Madhopur,4128,0,20,13,13
30,Sikar,17023,12,219,105,105
31,Sirohi,6622,5,164,43,43
32,Tonk,7807,1,165,161,155
32,Udaipur,16747,10,562,424,339
,Other District/State Sample,1190,0,14,0,0
,Total,425184,269,8987,6108,5464
,,Evacuess,0,61,61,61
,,BSF,0,50,42,42
,,Grand Total,269,9100,6213,5569

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
http://www.rajswasthya.nic.in/
