District,Active Cases,Cases Tested for COVID19,Patients Recovered,People Under Quarantine,Total Deaths,Last Updated
Ahmedabad,3158,84213,8727,98754,888,02/06/2020 10:09:01 PM
Amreli,7,3095,2,16718,1,02/06/2020 10:09:01 PM
Anand,4,2723,87,974,10,02/06/2020 10:09:01 PM
Aravalli,0,2484,106,2201,7,02/06/2020 10:09:01 PM
Banaskantha,21,3561,89,7438,5,02/06/2020 10:09:01 PM
Bharuch,7,2381,34,3485,3,02/06/2020 10:09:01 PM
Bhavnagar,15,6052,103,6565,8,02/06/2020 10:09:01 PM
Botad,4,2133,54,1789,1,02/06/2020 10:09:01 PM
Chhota Udaipur,10,2744,23,2823,0,02/06/2020 10:09:01 PM
Dahod,8,3692,32,3461,0,02/06/2020 10:09:01 PM
Dang,0,738,2,232,0,02/06/2020 10:09:01 PM
Devbhoomi Dwarka,2,2070,11,1904,0,02/06/2020 10:09:01 PM
Gandhinagar,123,5927,163,6366,14,02/06/2020 10:09:01 PM
Gir Somnath,9,1923,36,2303,0,02/06/2020 10:09:01 PM
Jamnagar,14,5339,37,3528,3,02/06/2020 10:09:01 PM
Junagadh,4,7831,25,2983,1,02/06/2020 10:09:01 PM
Kutch,14,3488,55,20085,2,02/06/2020 10:09:01 PM
Kheda,20,2896,58,1123,4,02/06/2020 10:09:01 PM
Mahisagar,73,2170,41,5231,2,02/06/2020 10:09:01 PM
Mehsana,43,1543,76,2274,6,02/06/2020 10:09:01 PM
Morbi,1,2253,3,617,0,02/06/2020 10:09:01 PM
Narmada,4,2320,15,536,0,02/06/2020 10:09:01 PM
Navsari,14,2920,12,5770,0,02/06/2020 10:09:01 PM
Panchmahal,9,3485,72,1755,10,02/06/2020 10:09:01 PM
Patan,11,2071,64,8813,6,02/06/2020 10:09:01 PM
Porbandar,6,1866,4,1141,2,02/06/2020 10:09:01 PM
Rajkot,40,5382,72,3378,3,02/06/2020 10:09:01 PM
Sabarkantha,31,2884,72,3419,3,02/06/2020 10:09:01 PM
Surat,485,32218,1160,9314,72,02/06/2020 10:09:01 PM
Surendranagar,24,3121,16,2394,1,02/06/2020 10:09:01 PM
Tapi,1,1906,5,17,0,02/06/2020 10:09:01 PM
Vadodara,442,10436,625,2452,39,02/06/2020 10:09:01 PM
Valsad,27,3745,13,5174,1,02/06/2020 10:09:01 PM
Total,4631,221610,11894,235017,1092,02/06/2020 10:09:01 PM
https://gujcovid19.gujarat.gov.in/
