District,Active Cases,Cases Tested for COVID19,Patients Recovered,People Under Quarantine,Total Deaths,Last Updated
Ahmedabad,3188,88692,9228,105300,938,04/06/2020  9:51:41 PM
Amreli,7,3261,2,13798,1,04/06/2020  9:51:41 PM
Anand,5,3023,91,819,10,04/06/2020  9:51:41 PM
Aravalli,3,2620,107,1971,7,04/06/2020  9:51:41 PM
Banaskantha,29,3818,97,6083,5,04/06/2020  9:51:41 PM
Bharuch,11,2521,34,3541,3,04/06/2020  9:51:41 PM
Bhavnagar,18,6374,105,5064,9,04/06/2020  9:51:41 PM
Botad,4,2219,54,1982,2,04/06/2020  9:51:41 PM
Chhota Udaipur,10,2951,23,1460,0,04/06/2020  9:51:41 PM
Dahod,13,3872,32,3338,0,04/06/2020  9:51:41 PM
Dang,0,815,2,182,0,04/06/2020  9:51:41 PM
Devbhoomi Dwarka,3,2224,11,183,0,04/06/2020  9:51:41 PM
Gandhinagar,173,6199,172,7473,15,04/06/2020  9:51:41 PM
Gir Somnath,3,1976,42,2181,0,04/06/2020  9:51:41 PM
Jamnagar,10,5598,42,2937,3,04/06/2020  9:51:41 PM
Junagadh,4,8638,26,1504,1,04/06/2020  9:51:41 PM
Kutch,13,3819,55,12255,4,04/06/2020  9:51:41 PM
Kheda,29,3115,58,1278,4,04/06/2020  9:51:41 PM
Mahisagar,22,2361,92,6300,2,04/06/2020  9:51:41 PM
Mehsana,54,1639,78,2076,6,04/06/2020  9:51:41 PM
Morbi,1,2405,3,736,0,04/06/2020  9:51:41 PM
Narmada,5,2636,18,401,0,04/06/2020  9:51:41 PM
Navsari,14,3041,13,4792,1,04/06/2020  9:51:41 PM
Panchmahal,15,3717,72,1810,10,04/06/2020  9:51:41 PM
Patan,14,2195,65,7754,7,04/06/2020  9:51:41 PM
Porbandar,4,1965,6,922,2,04/06/2020  9:51:41 PM
Rajkot,43,5686,73,2317,3,04/06/2020  9:51:41 PM
Sabarkantha,30,3031,78,3202,3,04/06/2020  9:51:41 PM
Surat,557,33155,1244,9029,74,04/06/2020  9:51:41 PM
Surendranagar,23,3382,19,2265,1,04/06/2020  9:51:41 PM
Tapi,1,2064,5,68,0,04/06/2020  9:51:41 PM
Vadodara,435,11042,702,2207,42,04/06/2020  9:51:41 PM
Valsad,21,3867,18,5467,2,04/06/2020  9:51:41 PM
Total,4762,233921,12667,220695,1155,04/06/2020  9:51:41 PM
https://gujcovid19.gujarat.gov.in/
