District,Confirmed Positive Cases,Cases Tested for COVID19,Patients Recovered,People Under Quarantine,Total Deaths,Last Updated
Ahmedabad,10280,72563,4051,72479,697,24/05/2020  9:15:55 PM
Amreli,4,2515,0,146764,0,24/05/2020  9:15:55 PM
Anand,91,1895,75,1732,9,24/05/2020  9:15:55 PM
Aravalli,99,1955,77,2412,3,24/05/2020  9:15:55 PM
Banaskantha,99,2471,78,11563,4,24/05/2020  9:15:55 PM
Bharuch,37,1972,28,5515,3,24/05/2020  9:15:55 PM
Bhavnagar,115,4852,91,57026,8,24/05/2020  9:15:55 PM
Botad,56,1795,54,16963,1,24/05/2020  9:15:55 PM
Chhota Udaipur,22,1669,21,17928,0,24/05/2020  9:15:55 PM
Dahod,36,2893,18,7081,0,24/05/2020  9:15:55 PM
Dang,2,534,2,653,0,24/05/2020  9:15:55 PM
Devbhoomi Dwarka,12,1562,11,1785,0,24/05/2020  9:15:55 PM
Gandhinagar,221,5104,114,2571,10,24/05/2020  9:15:55 PM
Gir Somnath,44,1467,21,14783,0,24/05/2020  9:15:55 PM
Jamnagar,47,4672,31,6831,2,24/05/2020  9:15:55 PM
Junagadh,26,5415,4,13673,0,24/05/2020  9:15:55 PM
Kutch,64,2515,12,16811,1,24/05/2020  9:15:55 PM
Kheda,62,2370,30,453,3,24/05/2020  9:15:55 PM
Mahisagar,81,1825,41,4939,1,24/05/2020  9:15:55 PM
Mehsana,101,1170,55,2627,4,24/05/2020  9:15:55 PM
Morbi,3,1771,2,1106,0,24/05/2020  9:15:55 PM
Narmada,15,1396,13,2309,0,24/05/2020  9:15:55 PM
Navsari,15,2410,8,5140,0,24/05/2020  9:15:55 PM
Panchmahal,74,2641,63,3468,6,24/05/2020  9:15:55 PM
Patan,71,1561,30,12703,4,24/05/2020  9:15:55 PM
Porbandar,6,1465,4,3486,0,24/05/2020  9:15:55 PM
Rajkot,92,4390,55,11344,2,24/05/2020  9:15:55 PM
Sabarkantha,77,2165,20,2309,3,24/05/2020  9:15:55 PM
Surat,1320,28528,897,9061,61,24/05/2020  9:15:55 PM
Surendranagar,23,2104,3,994,0,24/05/2020  9:15:55 PM
Tapi,6,1431,2,50,0,24/05/2020  9:15:55 PM
Vadodara,836,8444,497,3591,35,24/05/2020  9:15:55 PM
Valsad,19,3348,4,5162,1,24/05/2020  9:15:55 PM
Total,14056,182868,6412,465312,858,24/05/2020  9:15:55 PM
