1,Ajmer,13164,22,307,236,95
2,Alwar,7845,1,46,28,18
3,Banswara,2810,0,85,66,65
4,Baran,1990,0,5,4,3
5,Barmer,3858,6,82,1,1
6,Bharatpur,8588,6,141,123,117
7,Bhilwara,18434,6,117,50,38
8,Bikaner,7024,3,78,37,37
9,Chittorgarh,7159,0,170,122,102
10,Churu,6017,0,68,26,26
11,Dausa,5140,2,43,26,26
12,Dholpur,3088,3,41,22,10
13,Dungarpur,4094,4,318,8,8
14,Ganganagar,1512,0,1,0,0
15,Hanumangarh,2904,0,14,14,12
16,Jaipur,57148,78,1815,1185,1155
17,Jaisalmer,4358,4,68,36,36
18,Jalore,5161,0,149,8,8
19,Jhalawar,6695,0,59,47,47
20,Jhunjhunu,7833,3,88,52,47
21,Jodhpur,61553,35,1224,872,867
22,Karauli,1445,0,10,4,3
23,Kota,20243,6,379,286,192
24,Nagaur,11614,47,343,135,135
25,Pali,4505,7,287,59,59
26,Pratapgarh,1030,0,12,3,3
27,Rajsamand,2075,24,112,30,21
28,S. Madhopur,3806,0,17,8,6
29,Sikar,7479,3,82,21,21
30,Sirohi,5222,3,103,6,2
31,Tonk,7038,0,159,158,142
32,Udaipur,13312,21,480,70,6
