District,Beds Available(COVID Hospital),Bed Available(Isolation ward),Total ICU,Total VEntilators,Total PPE,Total N95 Mask,Govt. Doctors on duty,Govt. Doctors on leave,Govt. Nurses on Duty,Govt. Nurses on leave,Updated on,District,Samples Sent,Positive,Negative,Awaited,Home Quarantine,Facilty Quarantine,Isolated
DIMAPUR,76,86,22,13,4741,5775,81,0,293,5,25/05/2020,DIMAPUR,824,2,755,67,356,1464,2
KIPHIRE,10,22,2,1,795,2200,26,3,84,2,25/05/2020,KIPHIRE,0,0,0,0,0,18,0
KOHIMA,90,41,23,10,6205,10155,110,2,359,2,25/05/2020,KOHIMA,470,1,258,209,48,739,1
LONGLENG,15,5,0,1,1250,2100,21,2,55,1,25/05/2020,LONGLENG,0,0,0,0,0,32,0
MOKOKCHUNG,84,75,4,4,2400,2700,54,3,320,2,25/05/2020,MOKOKCHUNG,6,0,6,0,0,112,0
MON,18,6,2,1,2300,2400,37,9,155,8,25/05/2020,MON,39,0,39,0,174,198,0
PEREN,20,6,0,0,1540,2200,34,0,90,0,25/05/2020,PEREN,11,0,11,0,238,49,0
PHEK,26,11,2,1,1383,2050,47,6,196,3,25/05/2020,PHEK,8,0,1,7,19,100,0
TUENSANG,54,33,4,1,1430,2250,40,4,172,6,25/05/2020,TUENSANG,1,0,1,0,22,83,0
WOKHA,21,68,4,1,1430,2249,41,4,151,5,25/05/2020,WOKHA,7,0,7,0,40,23,0
ZUNHEBOTO,50,32,3,1,1300,2350,33,5,160,2,25/05/2020,ZUNHEBOTO,0,0,0,0,0,13,0
Total,464,385,66,34,24774,36429,524,38,2035,36
https://covid19.nagaland.gov.in/health-main
