District,Cases,Active,Recovered,Death,Total Samples,Total Positive,Total Negative,Total Inprogress, Total, Beds, Hall, Rooms
Anantapur,216,71,141,4,28065,216,27849,0
Chittoor,257,68,187,2,28714,257,28457,0,2085,2721,33,1032
East Godavari,206,152,52,2,42794,206,42588,0,2378,11701,743,4180
Guntur,489,98,383,8,29243,489,28754,0,3205,5599,8,4643
Kadapa,116,11,105,0,29956,116,29840,0,1335,3654,189,1126
Krishna,470,129,323,18,24657,470,24187,0,2047,3102,12,2008
Kurnool,723,141,559,23,27521,723,26798,0,1552,5579,220,3258
Prakasam,79,13,66,0,24250,79,24171,0,1500,8115,751,2212
Nellore,239,56,179,4,22378,239,22139,0,948,6888,154,2658
Srikakulam,23,14,9,0,38959,23,38936,0,1667,5663,403,1144
Visakhapatnam,101,30,70,1,29730,101,29629,0,2299,6152,0,3471
Vizianagaram,24,20,4,0,20148,24,20124,0,1285,4054,508,1044
West Godavari,99,42,57,0,25804,99,25705,0,953,16639,498,8068
http://covid19.ap.gov.in/Covid19_Admin/api/CV/DashboardCountAPI
