District,Active Cases,Cases Tested for COVID19,Patients Recovered,People Under Quarantine,Total Deaths,Last Updated
Ahmedabad,4420,81106,6918,96256,842,31/05/2020 10:08:34 PM
Amreli,7,2955,2,18236,1,31/05/2020 10:08:34 PM
Anand,7,2512,82,1108,10,31/05/2020 10:08:34 PM
Aravalli,6,2392,100,2431,4,31/05/2020 10:08:34 PM
Banaskantha,17,3172,89,7778,5,31/05/2020 10:08:34 PM
Bharuch,3,2290,34,3668,3,31/05/2020 10:08:34 PM
Bhavnagar,11,5766,102,7708,8,31/05/2020 10:08:34 PM
Botad,4,2051,54,6564,1,31/05/2020 10:08:34 PM
Chhota Udaipur,10,2518,23,3175,0,31/05/2020 10:08:34 PM
Dahod,10,3486,26,3739,0,31/05/2020 10:08:34 PM
Dang,0,686,2,232,0,31/05/2020 10:08:34 PM
Devbhoomi Dwarka,2,1947,11,1892,0,31/05/2020 10:08:34 PM
Gandhinagar,103,5696,157,6038,14,31/05/2020 10:08:34 PM
Gir Somnath,11,1744,34,2214,0,31/05/2020 10:08:34 PM
Jamnagar,14,5136,37,3655,3,31/05/2020 10:08:34 PM
Junagadh,6,7284,24,3175,0,31/05/2020 10:08:34 PM
Kutch,19,3275,48,19872,2,31/05/2020 10:08:34 PM
Kheda,24,2777,51,665,4,31/05/2020 10:08:34 PM
Mahisagar,72,2096,41,3735,2,31/05/2020 10:08:34 PM
Mehsana,36,1461,73,2344,5,31/05/2020 10:08:34 PM
Morbi,1,2136,3,624,0,31/05/2020 10:08:34 PM
Narmada,5,1755,13,686,0,31/05/2020 10:08:34 PM
Navsari,13,2790,12,5982,0,31/05/2020 10:08:34 PM
Panchmahal,7,3269,71,1860,10,31/05/2020 10:08:34 PM
Patan,11,1905,62,9574,6,31/05/2020 10:08:34 PM
Porbandar,4,1765,4,1199,2,31/05/2020 10:08:34 PM
Rajkot,39,5171,70,3920,3,31/05/2020 10:08:34 PM
Sabarkantha,51,2757,49,2813,3,31/05/2020 10:08:34 PM
Surat,449,31553,1102,9746,69,31/05/2020 10:08:34 PM
Surendranagar,21,3043,16,2153,1,31/05/2020 10:08:34 PM
Tapi,4,1787,2,17,0,31/05/2020 10:08:34 PM
Vadodara,409,9976,595,2624,39,31/05/2020 10:08:34 PM
Valsad,26,3672,12,5363,1,31/05/2020 10:08:34 PM
Total,5822,211929,9919,241046,1038,31/05/2020 10:08:34 PM
https://gujcovid19.gujarat.gov.in/
