SR. No, District - Country,Total Sample Received,Todays Positive,Cumulative Positive,Recovered,Discharged
1,Ajmer,13164,0,307,236,95
2,Alwar,7845,5,51,28,18
3,Banswara,2810,0,85,66,65
4,Baran,1990,0,5,4,3
5,Barmer,3858,0,82,1,1
6,Bharatpur,8588,0,141,123,117
7,Bhilwara,18434,0,117,54,38
8,Bikaner,7024,0,78,40,37
9,Chittorgarh,7159,0,170,122,102
10,Churu,6017,0,68,26,26
11,Dausa,5140,0,43,26,26
12,Dholpur,3088,1,42,22,10
13,Dungarpur,4094,0,318,8,8
14,Ganganagar,1512,0,1,0,0
15,Hanumangarh,2904,0,14,14,12
16,Jaipur,57148,11,1826,1185,1155
17,Jaisalmer,4358,0,68,36,36
18,Jalore,5161,0,149,8,8
19,Jhalawar,6695,0,59,47,47
20,Jhunjhunu,7833,0,88,52,47
21,Jodhpur,61553,0,1224,872,867
22,Karauli,1445,0,10,4,3
23,Kota,20243,7,386,286,192
24,Nagaur,11614,0,343,135,135
25,Pali,4505,25,312,59,59
26,Pratapgarh,1030,0,12,3,3
27,Rajsamand,2075,0,112,31,28
28,S. Madhopur,3806,1,18,8,6
29,Sikar,7479,22,104,21,21
30,Sirohi,5222,0,103,6,2
31,Tonk,7038,0,159,158,142
32,Udaipur,13312,0,480,70,6
,Other District/State Sample,2923,0,12,0,0
,Total,317067,72,6987,3751,3315
,,Evacuess,0,61,61,61
,,BSF,0,50,42,42
,,Grand Total,72,7100,3856,3420

COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,COVID Facilities in Rajasthan,
